dts,Node_5,Node_80,Node_6,Node_99
0.005,-1.4423e-06,7.51227e-05,4.35568e-05,5.59032e-05
0.015,0.000102205,0.000211027,-9.87302e-05,2.59184e-05
0.025,2.54711e-05,6.57466e-05,8.41742e-05,-0.000248066
0.035,0.000311066,0.000151092,0.000161488,-0.00380226
0.05,0.000497264,-0.000442313,-0.00131311,-0.0418965
0.065,0.00128646,0.000422349,-0.00865507,-0.0676846
0.075,0.00150119,7.71712e-05,-0.0261108,-0.0361885
0.085,0.00176265,-0.00241859,-0.0538053,-0.0367818
0.095,0.0015383,-0.00773735,-0.0653622,-0.0506085
0.105,-0.000772056,-0.0159885,-0.0585321,-0.048203
0.115,-0.00411529,-0.0255419,-0.0546785,-0.0518592
0.125,-0.00757789,-0.0312669,-0.050879,-0.0531495
0.135,-0.00901058,-0.0313234,-0.0478603,-0.055947
0.145,-0.00600827,-0.0236571,-0.0601335,-0.044043
0.155,-0.0205482,-0.0299178,-0.0648708,-0.0360447
0.165,-0.0105209,-0.056456,-0.0589662,-0.0205409
0.175,-0.0110878,-0.0333617,-0.0589199,-0.0188172
0.185,-0.0098442,-0.0510343,-0.0377992,-0.0293359
0.195,-0.021165,-0.0341361,-0.0496221,-0.0226081
0.205,-0.0257759,-0.0322107,-0.0382092,-0.0368659
0.215,-0.0366889,-0.0662042,-0.0395764,-0.0307977
0.225,-0.0363785,-0.0444264,-0.0370046,-0.0672172
0.235,-0.0227773,-0.0313747,-0.0430511,-0.0126547
0.245,-0.0246826,-0.0282696,-0.0292152,-0.0508684
0.255,-0.0221084,-0.0209252,-0.0200514,-0.0231046
0.265,-0.0122092,-0.0341329,-0.0367996,-0.0561119
0.275,-0.0098274,-0.0425073,-0.0243989,-0.0380074
0.285,-0.00757871,-0.0183876,-0.0163214,-0.0492304
0.295,-0.00277338,-0.0353936,-0.0511155,-0.00261874
0.305,-0.00802362,-0.0210522,-0.0117592,-0.0344381
0.315,-0.0106334,-0.00833675,-0.0430463,-0.032544
0.325,-0.0125996,-0.0272792,-0.0299293,-0.0486176
0.335,-0.0142184,-0.0223118,-0.0216322,-0.0492879
0.345,-0.0209187,-0.0273941,-0.0196696,-0.0398159
0.355,-0.018009,-0.0200868,-0.0626098,-0.0322807
0.365,-0.0111499,-0.00978315,-0.0583569,-0.0155128
0.375,-0.0142885,-0.00814651,-0.0446769,-0.0054825
0.385,-0.0238039,-0.0130746,-0.0473416,-0.0113271
0.395,-0.0262394,-0.0087088,-0.0260819,-0.0267737
0.405,-0.0180443,-0.0101553,-0.0331896,-0.068615
0.415,-0.013608,-0.00690425,-0.0218769,-0.0644408
0.425,-0.0095991,-0.0191906,-0.0358715,-0.0523751
0.435,-0.00158903,-0.0209026,-0.065777,-0.0258293
0.445,0.00490619,-0.0187384,-0.0485748,-0.0193213
0.455,0.00344449,-0.0296879,-0.0375397,-0.00414724
0.465,-0.00199395,-0.0433202,-0.0220287,-0.00605963
0.475,0.00228485,-0.0513084,-0.0073683,-0.0223145
0.485,0.0105238,-0.0309446,-0.0153072,-0.0294085
0.495,0.00372603,-0.0155521,-0.0211236,-0.0294681
0.505,-0.00868141,-0.0158219,-0.00610078,-0.0201488
0.515,-0.0217523,-0.0210516,-0.000325645,-0.0184602
0.525,-0.0487662,-0.0253003,-0.00211494,-0.0381203
0.535,-0.0591119,-0.0357349,0.0014629,-0.0351584
0.545,-0.0462172,-0.0436138,0.000459268,-0.0230564
0.555,-0.0330808,-0.0429367,-0.0184403,0.00934603
0.565,-0.0235688,-0.0345562,-0.0346113,0.0777829
0.575,-0.0193819,-0.0193882,-0.0229606,0.0895898
0.585,-0.0185304,-0.00953383,0.0275403,0.0864956
0.595,-0.0314974,-0.00734503,0.0940655,0.0776394
0.605,-0.0470963,0.00720515,0.119586,0.00314435
0.615,-0.0444855,0.0209861,0.102636,-0.0130749
0.625,-0.0233532,0.0271952,0.0756719,-0.0498813
0.635,-0.00146183,0.0476973,0.0218301,-0.131871
0.645,0.00912581,0.047738,-0.0662436,-0.0889475
0.655,0.022268,0.0610619,-0.0855124,-0.000880194
0.665,0.0273295,0.0369105,-0.0800386,0.0247008
0.675,0.0163712,-0.00641589,-0.0828046,0.0531241
0.685,0.0112051,-0.00454559,-0.0411073,0.109018
0.695,0.00748034,0.0349633,0.0448115,0.100957
0.705,-0.00163935,0.0289151,0.108204,0.167099
0.715,0.00287965,0.0381276,0.132555,0.177464
0.725,-0.0170818,0.0383962,0.13506,0.0561657
0.735,-0.0264472,0.0292395,0.144623,-0.10975
0.745,0.0129334,0.0299335,0.117052,-0.0945274
0.755,0.043524,0.00276336,0.0494406,0.0212069
0.765,0.0193419,-0.0264273,-0.0583195,0.0681953
0.775,0.00406384,-0.0223623,-0.139731,0.0161469
0.785,-0.0116673,-0.0278612,-0.0909558,0.0552177
0.795,-0.014027,-0.0524846,0.0314025,0.08516
0.805,-0.0137919,-0.0533143,0.0983016,-0.0271599
0.815,-0.0386948,-0.0039772,0.106886,-0.00784095
0.825,-0.0619973,0.0432076,0.0883623,-0.0723032
0.835,-0.0229784,0.0750321,-0.0361018,-0.0347897
0.845,0.0205991,0.108697,-0.0515178,0.0309479
0.855,0.0527844,0.120265,-0.0196932,0.0878156
0.865,-0.00220442,0.0368174,0.0287808,0.0467616
0.875,-0.0379166,-0.0162453,0.106673,-0.072375
0.885,-0.0181705,-0.0707245,0.0842877,-0.243755
