dts,Node_5,Node_80,Node_6,Node_108
0.005,-0.00197914,-0.00662808,-0.00820861,-0.000191981
0.015,-0.00197906,-0.00662782,-0.00820828,-0.000191972
0.025,-0.00197898,-0.00662755,-0.00820795,-0.000191962
0.035,-0.0019789,-0.00662728,-0.00820762,-0.000191953
0.05,-0.00197879,-0.00662689,-0.00820711,-0.000191936
0.065,-0.00197871,-0.00662654,-0.00820665,-0.000191919
0.075,-0.0019788,-0.00662628,-0.00820638,-0.000191895
0.085,-0.00197959,-0.006626,-0.00820609,-0.000191873
0.095,-0.00198216,-0.0066259,-0.00820579,-0.000191859
0.105,-0.00198759,-0.00662651,-0.00820549,-0.000191904
0.115,-0.00199585,-0.00662855,-0.00820542,-0.000192231
0.125,-0.00200634,-0.00663311,-0.00820627,-0.000193486
0.135,-0.00201921,-0.00664076,-0.00820896,-0.000196903
0.145,-0.00203483,-0.00665125,-0.00821427,-0.000203646
0.155,-0.00205326,-0.00666417,-0.00822299,-0.000213767
0.165,-0.00207458,-0.00667979,-0.00823479,-0.000226512
0.175,-0.00209879,-0.00669844,-0.00824927,-0.000241842
0.185,-0.00212574,-0.0067202,-0.00826707,-0.000260351
0.195,-0.00215517,-0.00674538,-0.00828847,-0.000282126
0.205,-0.00218693,-0.0067741,-0.0083135,-0.000307213
0.215,-0.00222089,-0.00680591,-0.00834241,-0.000335756
0.225,-0.00225703,-0.00684037,-0.00837488,-0.000367319
0.235,-0.00229508,-0.00687723,-0.00841051,-0.000401299
0.245,-0.00233485,-0.00691616,-0.008449,-0.000437401
0.255,-0.00237596,-0.0069573,-0.00848988,-0.000475578
0.265,-0.00241801,-0.00700089,-0.0085327,-0.000515804
0.275,-0.00246094,-0.00704666,-0.00857715,-0.000558118
0.285,-0.0025047,-0.0070941,-0.00862302,-0.000602593
0.295,-0.00254921,-0.00714264,-0.00867044,-0.000649269
0.305,-0.0025943,-0.00719186,-0.00871988,-0.000698228
0.315,-0.0026398,-0.00724159,-0.00877142,-0.000749511
0.325,-0.0026856,-0.00729195,-0.00882471,-0.000803142
0.335,-0.00273136,-0.0073433,-0.00887945,-0.000859102
0.345,-0.00277693,-0.00739561,-0.00893563,-0.00091736
0.355,-0.00282246,-0.00744808,-0.00899343,-0.000977905
0.365,-0.00286828,-0.00750044,-0.00905271,-0.00104038
