dts,Node_264,Node_449,Node_909
0.005,0.0249488,0.0176582,0.00134128
0.015,0.0249344,0.0176393,0.00134108
0.025,0.0249272,0.0176115,0.00134212
0.035,0.0249314,0.0175834,0.00134188
0.05,0.0249377,0.0175503,0.00134091
0.065,0.0249435,0.0175578,0.0013424
0.075,0.0249491,0.017598,0.00134241
0.085,0.0249582,0.0176444,0.00134222
0.095,0.0249725,0.0176814,0.00134166
0.105,0.0249892,0.017713,0.00134143
0.115,0.0250053,0.0177397,0.00134131
0.125,0.0250202,0.0177674,0.0013414
0.135,0.025035,0.0177991,0.00134079
0.145,0.0250487,0.0178324,0.00133949
0.155,0.025063,0.0178662,0.0013388
0.165,0.0250825,0.017897,0.00133796
0.175,0.0251027,0.0179257,0.00133712
0.185,0.0251188,0.0179523,0.00133634
0.195,0.0251272,0.0179689,0.00133523
0.205,0.0251302,0.0179746,0.00133464
0.215,0.0251317,0.0179773,0.00133395
0.225,0.0251323,0.0179786,0.00133251
0.235,0.025133,0.0179772,0.00133056
0.245,0.0251342,0.017977,0.00132869
0.255,0.0251362,0.0179807,0.00132715
0.265,0.0251382,0.0179868,0.00132553
0.275,0.02514,0.0179922,0.001324
0.285,0.0251444,0.017994,0.00132238
0.295,0.0251518,0.0179926,0.00132019
0.305,0.025159,0.0179854,0.00131804
0.315,0.0251636,0.017975,0.00131638
0.325,0.0251664,0.0179638,0.00131544
0.335,0.0251683,0.0179549,0.00131514
0.345,0.0251698,0.01795,0.00131489
0.355,0.0251704,0.0179504,0.00131488
0.365,0.0251669,0.017958,0.00131517
0.375,0.0251579,0.0179713,0.00131507
0.385,0.0251469,0.0179869,0.00131427
0.395,0.0251382,0.0180032,0.00131311
0.405,0.0251327,0.01802,0.00131197
0.415,0.0251264,0.0180364,0.00131071
0.425,0.0251146,0.0180519,0.00130911
0.435,0.025096,0.0180663,0.00130732
0.445,0.0250722,0.0180789,0.00130553
0.455,0.0250447,0.0180877,0.00130339
0.465,0.0250143,0.0180915,0.00129964
0.475,0.0249811,0.0180918,0.00129302
0.485,0.0249429,0.0180904,0.00128268
0.495,0.0249,0.0180862,0.00126799
0.505,0.024856,0.0180783,0.00124894
0.515,0.0248136,0.0180685,0.0012257
0.525,0.0247734,0.0180576,0.00119798
0.535,0.0247345,0.0180435,0.0011655
0.545,0.0246947,0.0180237,0.00112829
0.555,0.0246507,0.0179959,0.00108632
0.565,0.0246012,0.0179579,0.00103954
0.575,0.0245473,0.0179094,0.000988525
0.585,0.0244904,0.0178527,0.000934626
0.595,0.0244302,0.0177905,0.00087884
0.605,0.0243658,0.0177228,0.000821135
0.615,0.0242977,0.0176506,0.000760891
0.625,0.0242278,0.0175763,0.000697391
0.635,0.0241567,0.0175017,0.000630085
0.645,0.0240846,0.0174259,0.00055897
0.655,0.024012,0.0173481,0.000484472
0.665,0.0239395,0.0172677,0.000406695
0.675,0.0238667,0.0171834,0.000325504
0.685,0.0237927,0.0170943,0.000241392
0.695,0.0237161,0.0169999,0.000155425
0.705,0.0236357,0.0169011,6.84367e-05
0.715,0.0235504,0.0167999,-1.9304e-05
0.725,0.0234596,0.0166987,-0.000107901
0.735,0.0233631,0.016599,-0.000197715
0.745,0.0232614,0.0165018,-0.000289429
0.755,0.0231558,0.0164078,-0.000383733
0.765,0.0230479,0.0163171,-0.000480778
0.775,0.022938,0.0162291,-0.00058013
0.785,0.0228271,0.0161417,-0.000680988
0.795,0.0227168,0.0160518,-0.000782187
0.805,0.0226066,0.0159557,-0.000882418
0.815,0.0224957,0.0158508,-0.000981089
0.825,0.0223828,0.0157354,-0.00107914
0.835,0.0222673,0.0156093,-0.00117845
0.845,0.0221492,0.0154737,-0.0012802
0.855,0.0220293,0.0153323,-0.00138444
0.865,0.0219099,0.0151891,-0.00149105
0.875,0.0217944,0.0150478,-0.00160018
0.885,0.0216853,0.0149099,-0.00171142
0.895,0.0215842,0.0147748,-0.00182357
0.905,0.0214909,0.0146416,-0.00193539
0.915,0.0214036,0.0145096,-0.00204623
0.925,0.0213176,0.0143785,-0.00215614
0.935,0.0212264,0.0142484,-0.0022657
0.945,0.0211244,0.0141189,-0.00237594
0.955,0.0210097,0.0139897,-0.00248832
0.965,0.020884,0.0138602,-0.00260415
0.975,0.0207523,0.0137306,-0.00272317
0.985,0.0206184,0.0136022,-0.00284295
0.995,0.0204857,0.0134781,-0.00295981
1.01,0.0202986,0.0133046,-0.00312342
1.025,0.0201354,0.0131461,-0.00327258
1.04,0.0199877,0.0129952,-0.00341723
1.055,0.0198309,0.0128384,-0.00357404
1.07,0.0196598,0.0126601,-0.00375364
1.085,0.0194862,0.0124533,-0.00395159
1.1,0.0193194,0.0122255,-0.00415387
1.115,0.019162,0.0119951,-0.00434968
1.13,0.0190117,0.0117805,-0.00453438
1.145,0.0188652,0.0115924,-0.00470544
1.16,0.018725,0.0114294,-0.0048703
1.175,0.0185863,0.0112777,-0.00503994
