Nodes:
ID, X, Y, Z
1, 0.000, 0.000, 0.000
2, 10.000, 0.000, 0.000
3, 10.000, 10.000, 0.000
4, 0.000, 10.000, 0.000
5, 52.000, 0.000, 0.000
6, 32.000, 10.000, 0.000
7, 0.000, -20.000, 0.000
8, 10.000, -20.000, 0.000
9, 52.000, -20.000, 0.000
10, 72.000, -20.000, 0.000
11, 72.000, 0.000, 0.000
12, 82.000, -20.000, 0.000
13, 82.000, 0.000, 0.000
14, 10.000, 0.500, 0.000
15, 10.000, 1.000, 0.000
16, 10.000, 1.500, 0.000
17, 10.000, 2.000, 0.000
18, 10.000, 2.500, 0.000
19, 10.000, 3.000, 0.000
20, 10.000, 3.500, 0.000
21, 10.000, 4.000, 0.000
22, 10.000, 4.500, 0.000
23, 10.000, 5.000, 0.000
24, 10.000, 5.500, 0.000
25, 10.000, 6.000, 0.000
26, 10.000, 6.500, 0.000
27, 10.000, 7.000, 0.000
28, 10.000, 7.500, 0.000
29, 10.000, 8.000, 0.000
30, 10.000, 8.500, 0.000
31, 10.000, 9.000, 0.000
32, 10.000, 9.500, 0.000
33, 0.000, 0.500, 0.000
34, 0.000, 1.000, 0.000
35, 0.000, 1.500, 0.000
36, 0.000, 2.000, 0.000
37, 0.000, 2.500, 0.000
38, 0.000, 3.000, 0.000
39, 0.000, 3.500, 0.000
40, 0.000, 4.000, 0.000
41, 0.000, 4.500, 0.000
42, 0.000, 5.000, 0.000
43, 0.000, 5.500, 0.000
44, 0.000, 6.000, 0.000
45, 0.000, 6.500, 0.000
46, 0.000, 7.000, 0.000
47, 0.000, 7.500, 0.000
48, 0.000, 8.000, 0.000
49, 0.000, 8.500, 0.000
50, 0.000, 9.000, 0.000
51, 0.000, 9.500, 0.000
52, 12.100, 0.000, 0.000
53, 14.200, 0.000, 0.000
54, 16.300, 0.000, 0.000
55, 18.400, 0.000, 0.000
56, 20.500, 0.000, 0.000
57, 22.600, 0.000, 0.000
58, 24.700, 0.000, 0.000
59, 26.800, 0.000, 0.000
60, 28.900, 0.000, 0.000
61, 31.000, 0.000, 0.000
62, 33.100, 0.000, 0.000
63, 35.200, 0.000, 0.000
64, 37.300, 0.000, 0.000
65, 39.400, 0.000, 0.000
66, 41.500, 0.000, 0.000
67, 43.600, 0.000, 0.000
68, 45.700, 0.000, 0.000
69, 47.800, 0.000, 0.000
70, 49.900, 0.000, 0.000
71, 51.000, 0.500, 0.000
72, 50.000, 1.000, 0.000
73, 49.000, 1.500, 0.000
74, 48.000, 2.000, 0.000
75, 47.000, 2.500, 0.000
76, 46.000, 3.000, 0.000
77, 45.000, 3.500, 0.000
78, 44.000, 4.000, 0.000
79, 43.000, 4.500, 0.000
80, 42.000, 5.000, 0.000
81, 41.000, 5.500, 0.000
82, 40.000, 6.000, 0.000
83, 39.000, 6.500, 0.000
84, 38.000, 7.000, 0.000
85, 37.000, 7.500, 0.000
86, 36.000, 8.000, 0.000
87, 35.000, 8.500, 0.000
88, 34.000, 9.000, 0.000
89, 33.000, 9.500, 0.000
90, 30.900, 10.000, 0.000
91, 29.800, 10.000, 0.000
92, 28.700, 10.000, 0.000
93, 27.600, 10.000, 0.000
94, 26.500, 10.000, 0.000
95, 25.400, 10.000, 0.000
96, 24.300, 10.000, 0.000
97, 23.200, 10.000, 0.000
98, 22.100, 10.000, 0.000
99, 21.000, 10.000, 0.000
100, 19.900, 10.000, 0.000
101, 18.800, 10.000, 0.000
102, 17.700, 10.000, 0.000
103, 16.600, 10.000, 0.000
104, 15.500, 10.000, 0.000
105, 14.400, 10.000, 0.000
106, 13.300, 10.000, 0.000
107, 12.200, 10.000, 0.000
108, 11.100, 10.000, 0.000
109, 0.000, -1.000, 0.000
110, 0.000, -2.000, 0.000
111, 0.000, -3.000, 0.000
112, 0.000, -4.000, 0.000
113, 0.000, -5.000, 0.000
114, 0.000, -6.000, 0.000
115, 0.000, -7.000, 0.000
116, 0.000, -8.000, 0.000
117, 0.000, -9.000, 0.000
118, 0.000, -10.000, 0.000
119, 0.000, -11.000, 0.000
120, 0.000, -12.000, 0.000
121, 0.000, -13.000, 0.000
122, 0.000, -14.000, 0.000
123, 0.000, -15.000, 0.000
124, 0.000, -16.000, 0.000
125, 0.000, -17.000, 0.000
126, 0.000, -18.000, 0.000
127, 0.000, -19.000, 0.000
128, 10.000, -19.000, 0.000
129, 10.000, -18.000, 0.000
130, 10.000, -17.000, 0.000
131, 10.000, -16.000, 0.000
132, 10.000, -15.000, 0.000
133, 10.000, -14.000, 0.000
134, 10.000, -13.000, 0.000
135, 10.000, -12.000, 0.000
136, 10.000, -11.000, 0.000
137, 10.000, -10.000, 0.000
138, 10.000, -9.000, 0.000
139, 10.000, -8.000, 0.000
140, 10.000, -7.000, 0.000
141, 10.000, -6.000, 0.000
142, 10.000, -5.000, 0.000
143, 10.000, -4.000, 0.000
144, 10.000, -3.000, 0.000
145, 10.000, -2.000, 0.000
146, 10.000, -1.000, 0.000
147, 12.100, -20.000, 0.000
148, 14.200, -20.000, 0.000
149, 16.300, -20.000, 0.000
150, 18.400, -20.000, 0.000
151, 20.500, -20.000, 0.000
152, 22.600, -20.000, 0.000
153, 24.700, -20.000, 0.000
154, 26.800, -20.000, 0.000
155, 28.900, -20.000, 0.000
156, 31.000, -20.000, 0.000
157, 33.100, -20.000, 0.000
158, 35.200, -20.000, 0.000
159, 37.300, -20.000, 0.000
160, 39.400, -20.000, 0.000
161, 41.500, -20.000, 0.000
162, 43.600, -20.000, 0.000
163, 45.700, -20.000, 0.000
164, 47.800, -20.000, 0.000
165, 49.900, -20.000, 0.000
166, 52.000, -19.000, 0.000
167, 52.000, -18.000, 0.000
168, 52.000, -17.000, 0.000
169, 52.000, -16.000, 0.000
170, 52.000, -15.000, 0.000
171, 52.000, -14.000, 0.000
172, 52.000, -13.000, 0.000
173, 52.000, -12.000, 0.000
174, 52.000, -11.000, 0.000
175, 52.000, -10.000, 0.000
176, 52.000, -9.000, 0.000
177, 52.000, -8.000, 0.000
178, 52.000, -7.000, 0.000
179, 52.000, -6.000, 0.000
180, 52.000, -5.000, 0.000
181, 52.000, -4.000, 0.000
182, 52.000, -3.000, 0.000
183, 52.000, -2.000, 0.000
184, 52.000, -1.000, 0.000
185, 54.000, -20.000, 0.000
186, 56.000, -20.000, 0.000
187, 58.000, -20.000, 0.000
188, 60.000, -20.000, 0.000
189, 62.000, -20.000, 0.000
190, 64.000, -20.000, 0.000
191, 66.000, -20.000, 0.000
192, 68.000, -20.000, 0.000
193, 70.000, -20.000, 0.000
194, 72.000, -19.000, 0.000
195, 72.000, -18.000, 0.000
196, 72.000, -17.000, 0.000
197, 72.000, -16.000, 0.000
198, 72.000, -15.000, 0.000
199, 72.000, -14.000, 0.000
200, 72.000, -13.000, 0.000
201, 72.000, -12.000, 0.000
202, 72.000, -11.000, 0.000
203, 72.000, -10.000, 0.000
204, 72.000, -9.000, 0.000
205, 72.000, -8.000, 0.000
206, 72.000, -7.000, 0.000
207, 72.000, -6.000, 0.000
208, 72.000, -5.000, 0.000
209, 72.000, -4.000, 0.000
210, 72.000, -3.000, 0.000
211, 72.000, -2.000, 0.000
212, 72.000, -1.000, 0.000
213, 70.000, 0.000, 0.000
214, 68.000, 0.000, 0.000
215, 66.000, 0.000, 0.000
216, 64.000, 0.000, 0.000
217, 62.000, 0.000, 0.000
218, 60.000, 0.000, 0.000
219, 58.000, 0.000, 0.000
220, 56.000, 0.000, 0.000
221, 54.000, 0.000, 0.000
222, 82.000, -19.000, 0.000
223, 82.000, -18.000, 0.000
224, 82.000, -17.000, 0.000
225, 82.000, -16.000, 0.000
226, 82.000, -15.000, 0.000
227, 82.000, -14.000, 0.000
228, 82.000, -13.000, 0.000
229, 82.000, -12.000, 0.000
230, 82.000, -11.000, 0.000
231, 82.000, -10.000, 0.000
232, 82.000, -9.000, 0.000
233, 82.000, -8.000, 0.000
234, 82.000, -7.000, 0.000
235, 82.000, -6.000, 0.000
236, 82.000, -5.000, 0.000
237, 82.000, -4.000, 0.000
238, 82.000, -3.000, 0.000
239, 82.000, -2.000, 0.000
