FS    , C     , phi   , num_iter  , analysis  
 0.800,  12.50,  24.46,          2,          0
 1.000,  10.00,  20.00,          2,          0
 1.025,   9.76,  19.55,          2,          0
 1.050,   9.52,  19.12,          2,          0
 1.075,   9.30,  18.70,          2,          0
 1.100,   9.09,  18.31,          3,          0
 1.125,   8.89,  17.93,          3,          0
 1.150,   8.70,  17.56,          3,          0
 1.175,   8.51,  17.21,          4,          0
 1.200,   8.33,  16.87,          4,          0
 1.225,   8.16,  16.55,          4,          0
 1.250,   8.00,  16.23,          4,          0
 1.275,   7.84,  15.93,          4,          0
 1.300,   7.69,  15.64,          4,          0
 1.325,   7.55,  15.36,          4,          0
 1.350,   7.41,  15.09,          4,          0
 1.375,   7.27,  14.83,          4,          0
 1.400,   7.14,  14.57,          5,          0
 1.425,   7.02,  14.33,          7,          0
 1.450,   6.90,  14.09,          7,          0
 1.475,   6.78,  13.86,          5,          0
 1.500,   6.67,  13.64,          7,          0
