Nodes:
ID, X, Y, Z
1, 0.000, 0.000, 0.000
2, 32.000, 0.000, 0.000
3, 12.000, 10.000, 0.000
4, 0.000, 10.000, 0.000
5, 0.800, 0.000, 0.000
6, 1.600, 0.000, 0.000
7, 2.400, 0.000, 0.000
8, 3.200, 0.000, 0.000
9, 4.000, 0.000, 0.000
10, 4.800, 0.000, 0.000
11, 5.600, 0.000, 0.000
12, 6.400, 0.000, 0.000
13, 7.200, 0.000, 0.000
14, 8.000, 0.000, 0.000
15, 8.800, 0.000, 0.000
16, 9.600, 0.000, 0.000
17, 10.400, 0.000, 0.000
18, 11.200, 0.000, 0.000
19, 12.000, 0.000, 0.000
20, 12.800, 0.000, 0.000
21, 13.600, 0.000, 0.000
22, 14.400, 0.000, 0.000
23, 15.200, 0.000, 0.000
24, 16.000, 0.000, 0.000
25, 16.800, 0.000, 0.000
26, 17.600, 0.000, 0.000
27, 18.400, 0.000, 0.000
28, 19.200, 0.000, 0.000
29, 20.000, 0.000, 0.000
30, 20.800, 0.000, 0.000
31, 21.600, 0.000, 0.000
32, 22.400, 0.000, 0.000
33, 23.200, 0.000, 0.000
34, 24.000, 0.000, 0.000
35, 24.800, 0.000, 0.000
36, 25.600, 0.000, 0.000
37, 26.400, 0.000, 0.000
38, 27.200, 0.000, 0.000
39, 28.000, 0.000, 0.000
40, 28.800, 0.000, 0.000
41, 29.600, 0.000, 0.000
42, 30.400, 0.000, 0.000
43, 31.200, 0.000, 0.000
44, 31.500, 0.250, 0.000
45, 31.000, 0.500, 0.000
46, 30.500, 0.750, 0.000
47, 30.000, 1.000, 0.000
48, 29.500, 1.250, 0.000
49, 29.000, 1.500, 0.000
50, 28.500, 1.750, 0.000
51, 28.000, 2.000, 0.000
52, 27.500, 2.250, 0.000
53, 27.000, 2.500, 0.000
54, 26.500, 2.750, 0.000
55, 26.000, 3.000, 0.000
56, 25.500, 3.250, 0.000
57, 25.000, 3.500, 0.000
58, 24.500, 3.750, 0.000
59, 24.000, 4.000, 0.000
60, 23.500, 4.250, 0.000
61, 23.000, 4.500, 0.000
62, 22.500, 4.750, 0.000
63, 22.000, 5.000, 0.000
64, 21.500, 5.250, 0.000
65, 21.000, 5.500, 0.000
66, 20.500, 5.750, 0.000
67, 20.000, 6.000, 0.000
68, 19.500, 6.250, 0.000
69, 19.000, 6.500, 0.000
70, 18.500, 6.750, 0.000
71, 18.000, 7.000, 0.000
72, 17.500, 7.250, 0.000
73, 17.000, 7.500, 0.000
74, 16.500, 7.750, 0.000
75, 16.000, 8.000, 0.000
76, 15.500, 8.250, 0.000
77, 15.000, 8.500, 0.000
78, 14.500, 8.750, 0.000
79, 14.000, 9.000, 0.000
80, 13.500, 9.250, 0.000
81, 13.000, 9.500, 0.000
82, 12.500, 9.750, 0.000
83, 11.700, 10.000, 0.000
84, 11.400, 10.000, 0.000
85, 11.100, 10.000, 0.000
86, 10.800, 10.000, 0.000
87, 10.500, 10.000, 0.000
88, 10.200, 10.000, 0.000
89, 9.900, 10.000, 0.000
90, 9.600, 10.000, 0.000
91, 9.300, 10.000, 0.000
92, 9.000, 10.000, 0.000
93, 8.700, 10.000, 0.000
94, 8.400, 10.000, 0.000
95, 8.100, 10.000, 0.000
96, 7.800, 10.000, 0.000
97, 7.500, 10.000, 0.000
98, 7.200, 10.000, 0.000
99, 6.900, 10.000, 0.000
100, 6.600, 10.000, 0.000
101, 6.300, 10.000, 0.000
102, 6.000, 10.000, 0.000
103, 5.700, 10.000, 0.000
104, 5.400, 10.000, 0.000
105, 5.100, 10.000, 0.000
106, 4.800, 10.000, 0.000
107, 4.500, 10.000, 0.000
108, 4.200, 10.000, 0.000
109, 3.900, 10.000, 0.000
110, 3.600, 10.000, 0.000
111, 3.300, 10.000, 0.000
112, 3.000, 10.000, 0.000
113, 2.700, 10.000, 0.000
114, 2.400, 10.000, 0.000
115, 2.100, 10.000, 0.000
116, 1.800, 10.000, 0.000
117, 1.500, 10.000, 0.000
118, 1.200, 10.000, 0.000
119, 0.900, 10.000, 0.000
120, 0.600, 10.000, 0.000
121, 0.300, 10.000, 0.000
122, 0.000, 9.750, 0.000
123, 0.000, 9.500, 0.000
124, 0.000, 9.250, 0.000
125, 0.000, 9.000, 0.000
126, 0.000, 8.750, 0.000
127, 0.000, 8.500, 0.000
128, 0.000, 8.250, 0.000
129, 0.000, 8.000, 0.000
130, 0.000, 7.750, 0.000
131, 0.000, 7.500, 0.000
132, 0.000, 7.250, 0.000
133, 0.000, 7.000, 0.000
134, 0.000, 6.750, 0.000
135, 0.000, 6.500, 0.000
136, 0.000, 6.250, 0.000
137, 0.000, 6.000, 0.000
138, 0.000, 5.750, 0.000
139, 0.000, 5.500, 0.000
140, 0.000, 5.250, 0.000
141, 0.000, 5.000, 0.000
142, 0.000, 4.750, 0.000
143, 0.000, 4.500, 0.000
144, 0.000, 4.250, 0.000
145, 0.000, 4.000, 0.000
146, 0.000, 3.750, 0.000
147, 0.000, 3.500, 0.000
148, 0.000, 3.250, 0.000
149, 0.000, 3.000, 0.000
150, 0.000, 2.750, 0.000
151, 0.000, 2.500, 0.000
152, 0.000, 2.250, 0.000
153, 0.000, 2.000, 0.000
154, 0.000, 1.750, 0.000
155, 0.000, 1.500, 0.000
156, 0.000, 1.250, 0.000
157, 0.000, 1.000, 0.000
158, 0.000, 0.750, 0.000
159, 0.000, 0.500, 0.000
160, 0.000, 0.250, 0.000
161, 0.787, 0.250, 0.000
162, 0.775, 0.500, 0.000
163, 0.762, 0.750, 0.000
164, 0.750, 1.000, 0.000
165, 0.737, 1.250, 0.000
166, 0.725, 1.500, 0.000
167, 0.712, 1.750, 0.000
168, 0.700, 2.000, 0.000
169, 0.687, 2.250, 0.000
170, 0.675, 2.500, 0.000
171, 0.662, 2.750, 0.000
172, 0.650, 3.000, 0.000
173, 0.637, 3.250, 0.000
174, 0.625, 3.500, 0.000
175, 0.612, 3.750, 0.000
176, 0.600, 4.000, 0.000
177, 0.587, 4.250, 0.000
178, 0.575, 4.500, 0.000
179, 0.562, 4.750, 0.000
180, 0.550, 5.000, 0.000
181, 0.537, 5.250, 0.000
182, 0.525, 5.500, 0.000
183, 0.512, 5.750, 0.000
184, 0.500, 6.000, 0.000
185, 0.488, 6.250, 0.000
186, 0.475, 6.500, 0.000
187, 0.463, 6.750, 0.000
188, 0.450, 7.000, 0.000
189, 0.438, 7.250, 0.000
190, 0.425, 7.500, 0.000
191, 0.413, 7.750, 0.000
192, 0.400, 8.000, 0.000
193, 0.388, 8.250, 0.000
194, 0.375, 8.500, 0.000
195, 0.363, 8.750, 0.000
196, 0.350, 9.000, 0.000
197, 0.338, 9.250, 0.000
198, 0.325, 9.500, 0.000
199, 0.313, 9.750, 0.000
200, 1.575, 0.250, 0.000
201, 1.550, 0.500, 0.000
202, 1.525, 0.750, 0.000
203, 1.500, 1.000, 0.000
204, 1.475, 1.250, 0.000
205, 1.450, 1.500, 0.000
206, 1.425, 1.750, 0.000
207, 1.400, 2.000, 0.000
208, 1.375, 2.250, 0.000
209, 1.350, 2.500, 0.000
210, 1.325, 2.750, 0.000
211, 1.300, 3.000, 0.000
212, 1.275, 3.250, 0.000
213, 1.250, 3.500, 0.000
214, 1.225, 3.750, 0.000
215, 1.200, 4.000, 0.000
