Elements:
ID, Node1, Node2, Node3, Node4, Type, Physicaltag
161, 1, 9, 339, 126, quad, Slope
162, 126, 339, 340, 127, quad, Slope
163, 127, 340, 341, 128, quad, Slope
164, 128, 341, 342, 129, quad, Slope
165, 129, 342, 343, 130, quad, Slope
166, 130, 343, 344, 131, quad, Slope
167, 131, 344, 345, 132, quad, Slope
168, 132, 345, 346, 133, quad, Slope
169, 133, 346, 347, 134, quad, Slope
170, 134, 347, 348, 135, quad, Slope
171, 135, 348, 349, 136, quad, Slope
172, 136, 349, 350, 137, quad, Slope
173, 137, 350, 351, 138, quad, Slope
174, 138, 351, 352, 139, quad, Slope
175, 139, 352, 353, 140, quad, Slope
176, 140, 353, 354, 141, quad, Slope
177, 141, 354, 355, 142, quad, Slope
178, 142, 355, 356, 143, quad, Slope
179, 143, 356, 357, 144, quad, Slope
180, 144, 357, 358, 145, quad, Slope
181, 145, 358, 359, 146, quad, Slope
182, 146, 359, 360, 147, quad, Slope
183, 147, 360, 361, 148, quad, Slope
184, 148, 361, 362, 149, quad, Slope
185, 149, 362, 363, 150, quad, Slope
186, 150, 363, 364, 151, quad, Slope
187, 151, 364, 365, 152, quad, Slope
188, 152, 365, 366, 153, quad, Slope
189, 153, 366, 367, 154, quad, Slope
190, 154, 367, 368, 155, quad, Slope
191, 155, 368, 369, 156, quad, Slope
192, 156, 369, 370, 157, quad, Slope
193, 157, 370, 371, 158, quad, Slope
194, 158, 371, 372, 159, quad, Slope
195, 159, 372, 373, 160, quad, Slope
196, 160, 373, 374, 161, quad, Slope
197, 161, 374, 375, 162, quad, Slope
198, 162, 375, 376, 163, quad, Slope
199, 163, 376, 377, 164, quad, Slope
200, 164, 377, 125, 4, quad, Slope
201, 9, 10, 378, 339, quad, Slope
202, 339, 378, 379, 340, quad, Slope
203, 340, 379, 380, 341, quad, Slope
204, 341, 380, 381, 342, quad, Slope
205, 342, 381, 382, 343, quad, Slope
206, 343, 382, 383, 344, quad, Slope
207, 344, 383, 384, 345, quad, Slope
208, 345, 384, 385, 346, quad, Slope
209, 346, 385, 386, 347, quad, Slope
210, 347, 386, 387, 348, quad, Slope
211, 348, 387, 388, 349, quad, Slope
212, 349, 388, 389, 350, quad, Slope
213, 350, 389, 390, 351, quad, Slope
214, 351, 390, 391, 352, quad, Slope
215, 352, 391, 392, 353, quad, Slope
216, 353, 392, 393, 354, quad, Slope
217, 354, 393, 394, 355, quad, Slope
218, 355, 394, 395, 356, quad, Slope
219, 356, 395, 396, 357, quad, Slope
220, 357, 396, 397, 358, quad, Slope
221, 358, 397, 398, 359, quad, Slope
222, 359, 398, 399, 360, quad, Slope
223, 360, 399, 400, 361, quad, Slope
224, 361, 400, 401, 362, quad, Slope
225, 362, 401, 402, 363, quad, Slope
226, 363, 402, 403, 364, quad, Slope
227, 364, 403, 404, 365, quad, Slope
228, 365, 404, 405, 366, quad, Slope
229, 366, 405, 406, 367, quad, Slope
230, 367, 406, 407, 368, quad, Slope
231, 368, 407, 408, 369, quad, Slope
232, 369, 408, 409, 370, quad, Slope
233, 370, 409, 410, 371, quad, Slope
234, 371, 410, 411, 372, quad, Slope
235, 372, 411, 412, 373, quad, Slope
236, 373, 412, 413, 374, quad, Slope
237, 374, 413, 414, 375, quad, Slope
238, 375, 414, 415, 376, quad, Slope
239, 376, 415, 416, 377, quad, Slope
240, 377, 416, 124, 125, quad, Slope
241, 10, 11, 417, 378, quad, Slope
242, 378, 417, 418, 379, quad, Slope
243, 379, 418, 419, 380, quad, Slope
244, 380, 419, 420, 381, quad, Slope
245, 381, 420, 421, 382, quad, Slope
246, 382, 421, 422, 383, quad, Slope
247, 383, 422, 423, 384, quad, Slope
248, 384, 423, 424, 385, quad, Slope
249, 385, 424, 425, 386, quad, Slope
250, 386, 425, 426, 387, quad, Slope
251, 387, 426, 427, 388, quad, Slope
252, 388, 427, 428, 389, quad, Slope
253, 389, 428, 429, 390, quad, Slope
254, 390, 429, 430, 391, quad, Slope
255, 391, 430, 431, 392, quad, Slope
256, 392, 431, 432, 393, quad, Slope
