"Layer 1 is next to the bed rock, parameters for pressure dependent multiyield material (PressureDependMultiYield02) , multiyield auto generated",,,,,,,,,,,,,,,,,,,,,,,
Layer No.,Thickness [m],Density [Mg/m3],Shear Modulus [kPa],Bulk Modulus [kPa],Friction angle [deg],Peak shear strain,Reference pressure [kPa],Pressure dependent coeff.,Phase transformation angle [deg],Contraction coeff.,Dilation param1,Dilation param2,Liquefaction param1,Liquefaction param2,Liquefaction param3,Number of yield surfaces,Initial void ratio,Critical state param 1,Critical state param 2,Critical state param 3,Atmospheric pressure [kPa],c [kPa],
3,2,1.8,9.00E+04,2.20E+05,32,0.1,101,0.5,26,0.067,0.23,0.06,0.27,20,5,3,1,0,0.77,0.9,0.02,0.7,101
2,8,2.24,9.00E+04,2.20E+05,32,0.1,101,0.5,26,0.067,0.23,0.06,0.27,20,5,3,1,0,0.77,0.9,0.02,0.7,101
1,20,2.45,1.30E+05,2.60E+05,39,0.1,101,0.5,26,0.01,0,0.35,0,20,5,3,1,0,0.47,0.9,0.02,0.7,101
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"'PressureDependMultiYield02', matTag, nd, rho, refShearModul, refBulkModul, frictionAng, peakShearStra, refPress, pressDependCoe, PTAng, contrac[0], contrac[2], dilat[0], dilat[2], noYieldSurf=20.0, *yieldSurf=[], contrac[1]=5.0, dilat[1]=3.0, *liquefac=[1.0,0.0],e=0.6, *params=[0.9, 0.02, 0.7, 101.0], c=0.1",,,,,,,,,,,,,,,,,,,,,,,
