"Layer 1 is next to the bed rock, parameters for pressure dependent multiyield material, multiyield auto generated",,,,,,,,,,,,,,,,,,,,,,
Layer No.,Thickness [m],Vs [m/s],Poisson's ratio,Density [Mg/m3],"Friction angle [deg],",Peak shear strain,Reference pressure [kPa],Pressure dependent coeff.,Phase transformation angle [deg],Contraction coeff.,Dilation param1,Dilation param2,Liquefaction param1,Liquefaction param2,Liquefaction param3,Number of yield surfaces,Initial void ratio,Critical state param 1,Critical state param 2,Critical state param 3,Atmospheric pressure [kPa],c [kPa]
30,1,170.9,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
29,1,224.9,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
28,1,255.6,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
27,1,278,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
26,1,296,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
25,1,311.3,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
24,1,324.5,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
23,1,336.4,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
22,1,347,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
21,1,356.8,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
20,1,365.9,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
19,1,374.3,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
18,1,382.2,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
17,1,389.6,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
16,1,396.6,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
15,1,403.3,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
14,1,409.6,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
13,1,415.7,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
12,1,421.5,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
11,1,427.1,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
10,1,432.5,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
9,1,437.7,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
8,1,442.7,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
7,1,447.5,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
6,1,452.2,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
5,1,456.7,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
4,1,461.2,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
3,1,465.4,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
2,1,469.6,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
1,1,473.7,0,2.202,35,0.1,80,0,27,0.06,0.5,2.5,0,0,0,16,0.6,0.9,0.02,0.7,101,0.3
