Period [s],umax [m],vmax [m/s],amax [g]
0.001,0,0.00055,0.35288
0.0011,0,0.0006,0.35289
0.0012,0,0.00066,0.35291
0.00132,0,0.00073,0.35293
0.00145,0,0.0008,0.35295
0.00159,0,0.00088,0.35298
0.00175,0,0.00096,0.35302
0.00192,0,0.00106,0.35306
0.0021,0,0.00116,0.35311
0.00231,0,0.00127,0.35318
0.00254,0,0.0014,0.35326
0.00278,0,0.00154,0.35336
0.00305,0,0.00169,0.35348
0.00335,0,0.00185,0.35362
0.00368,0,0.00203,0.3538
0.00404,0,0.00223,0.35402
0.00443,0,0.00245,0.35428
0.00486,0,0.00269,0.3546
0.00534,0,0.00296,0.35499
0.00586,0,0.00325,0.35546
0.00643,0,0.00357,0.35604
0.00705,0,0.00393,0.35673
0.00774,0.00001,0.00432,0.35757
0.0085,0.00001,0.00476,0.35857
0.00933,0.00001,0.00524,0.35973
0.01024,0.00001,0.00577,0.36096
0.01123,0.00001,0.00635,0.36212
0.01233,0.00001,0.00703,0.36548
0.01353,0.00002,0.00779,0.36872
0.01485,0.00002,0.00851,0.36721
0.0163,0.00002,0.00963,0.37844
0.01789,0.00003,0.01114,0.39892
0.01963,0.00004,0.01343,0.43832
0.02154,0.00006,0.01668,0.49575
0.02364,0.00007,0.01972,0.53406
0.02595,0.00008,0.02031,0.50139
0.02848,0.0001,0.02168,0.48751
0.03126,0.00014,0.02835,0.58093
0.0343,0.00016,0.02983,0.5569
0.03765,0.0002,0.03269,0.55619
0.04132,0.00027,0.0416,0.64488
0.04535,0.00033,0.04523,0.63879
0.04977,0.00036,0.04502,0.57941
0.05462,0.00049,0.0563,0.66012
0.05995,0.00066,0.069,0.73718
0.06579,0.00077,0.07323,0.71293
0.07221,0.00074,0.06464,0.57336
0.07925,0.00098,0.07799,0.63029
0.08697,0.00138,0.09975,0.73458
0.09545,0.00203,0.13351,0.89581
0.10476,0.00246,0.14747,0.90159
0.11498,0.00258,0.1412,0.78658
0.12619,0.00314,0.15633,0.7935
0.13849,0.00304,0.13806,0.63852
0.15199,0.00406,0.16799,0.70792
0.16681,0.00516,0.19426,0.74589
0.18307,0.00674,0.2314,0.80957
0.20092,0.00763,0.23859,0.76057
0.22051,0.01027,0.29275,0.85031
0.24201,0.014,0.36347,0.96192
0.26561,0.01595,0.37736,0.90997
0.29151,0.02157,0.46503,1.02176
0.31993,0.02768,0.54359,1.08825
0.35112,0.03541,0.63361,1.15579
0.38535,0.0517,0.843,1.40113
0.42292,0.05581,0.82916,1.2557
0.46416,0.05392,0.72987,1.00714
0.50941,0.04998,0.61642,0.77502
0.55908,0.05362,0.60257,0.69031
0.61359,0.0422,0.43217,0.45111
0.67342,0.04221,0.39379,0.37454
0.73907,0.05064,0.43048,0.37306
0.81113,0.05956,0.46137,0.36431
0.89022,0.07666,0.54104,0.38926
0.97701,0.09938,0.63912,0.41898
1.07227,0.11656,0.68298,0.40796
1.17681,0.16304,0.87049,0.47377
1.29155,0.1928,0.93793,0.46513
1.41747,0.2078,0.92111,0.4162
1.55568,0.19867,0.80241,0.33036
1.70735,0.1852,0.68155,0.25567
1.87382,0.1876,0.62904,0.21501
2.05651,0.17396,0.53149,0.16553
2.25702,0.15932,0.44351,0.12586
2.47708,0.1496,0.37946,0.09812
2.71859,0.13854,0.32019,0.07544
2.98365,0.13648,0.2874,0.0617
3.27455,0.12801,0.24563,0.04804
3.59381,0.12168,0.21273,0.03791
3.94421,0.11627,0.18522,0.03008
4.32876,0.12491,0.18131,0.02683
4.75081,0.11734,0.15518,0.02092
5.21401,0.12782,0.15403,0.01892
5.72237,0.12618,0.13855,0.01551
6.28029,0.11059,0.11064,0.01128
6.89261,0.1281,0.11678,0.01085
7.56463,0.11172,0.09279,0.00786
8.30218,0.14159,0.10716,0.00827
9.11163,0.08652,0.05966,0.00419
10,0.14252,0.08955,0.00574
