z [m],acc [g],vel [m/s],disp [m]
29.999999999999925,-1.51432,-0.0559935,0.0733024
29.799999999999926,-1.06061,-0.0533546,0.073463
29.599999999999927,-1.15067,-0.0506903,0.0736213
29.399999999999928,-1.18884,-0.0479791,0.0737775
29.19999999999993,-1.08041,-0.045292,0.0739317
28.99999999999993,-1.28454,-0.0425772,0.0740838
28.79999999999993,-1.05511,-0.0398427,0.0742394
28.59999999999993,-1.32957,-0.0372265,0.0743936
28.39999999999993,-1.196,-0.0345735,0.0745463
28.199999999999932,-0.746834,-0.0318575,0.0746976
27.999999999999932,-1.13826,-0.0291202,0.0748475
27.799999999999933,-1.22716,-0.0264059,0.0750012
27.599999999999934,-0.989528,-0.0236515,0.0751536
27.399999999999935,-1.02087,-0.0208361,0.0753047
27.199999999999935,-0.878372,-0.017997,0.0754545
26.999999999999936,-1.11446,-0.0151584,0.0756029
26.799999999999937,-1.11968,-0.0123248,0.0757556
26.599999999999937,-0.572189,-0.00948883,0.075907
26.399999999999938,-0.497416,-0.00670957,0.0760571
26.19999999999994,-1.01825,-0.00397955,0.0762059
25.99999999999994,-0.680563,-0.00129095,0.0763534
25.79999999999994,-0.526092,0.00136527,0.0765049
25.59999999999994,-0.574569,0.00397853,0.0766546
25.39999999999994,-0.63903,0.00658765,0.076803
25.199999999999942,-0.905735,0.0092277,0.0769502
24.999999999999943,-0.975049,0.0119232,0.0770961
24.799999999999944,-0.687477,0.014702,0.0772457
24.599999999999945,-0.627302,0.0175767,0.0773939
24.399999999999945,-1.00415,0.020631,0.0775406
24.199999999999946,-0.601101,0.0238455,0.0776859
23.999999999999947,-0.706058,0.0270691,0.0778298
23.799999999999947,-0.580585,0.0300957,0.0779772
23.599999999999948,-0.436233,0.0329901,0.0781233
23.39999999999995,-0.210628,0.0358306,0.0782679
23.19999999999995,0.0538092,0.038777,0.0784107
22.99999999999995,0.082695,0.0418346,0.0785519
22.79999999999995,-0.64947,0.0450229,0.0786966
22.59999999999995,-2.07529,0.0483976,0.0788393
22.399999999999952,-0.18545,0.0516512,0.0789807
22.199999999999953,-1.03185,0.0548802,0.0791208
21.999999999999954,-0.554637,0.0578948,0.0792596
21.799999999999955,0.360673,0.0611229,0.0794022
21.599999999999955,2.49755,0.0639293,0.0795431
21.399999999999956,-0.931614,0.0667601,0.0796819
21.199999999999957,0.378753,0.0692883,0.0798187
20.999999999999957,1.03343,0.0722442,0.0799531
20.799999999999958,0.784168,0.0754752,0.0800913
20.59999999999996,-0.489519,0.0787181,0.0802273
20.39999999999996,-2.70886,0.082373,0.0803612
20.19999999999996,1.09219,0.0858281,0.080493
19.99999999999996,0.064398,0.089524,0.0806228
19.79999999999996,0.916197,0.0924448,0.0807564
19.599999999999962,0.547176,0.0953289,0.0808881
19.399999999999963,1.22701,0.0981043,0.081018
19.199999999999964,2.40539,0.100452,0.0811461
18.999999999999964,-2.47254,0.103454,0.0812725
18.799999999999965,-2.00399,0.106163,0.081403
18.599999999999966,-2.35563,0.10985,0.0815319
18.399999999999967,-1.74092,0.113463,0.0816593
18.199999999999967,-0.933328,0.117086,0.0817851
17.999999999999968,-0.563821,0.121151,0.0819094
17.79999999999997,4.925,0.124323,0.0820382
17.59999999999997,5.87264,0.127843,0.0821653
17.39999999999997,6.26966,0.130441,0.0822906
17.19999999999997,5.07403,0.133211,0.0824143
16.99999999999997,3.87971,0.135968,0.0825362
16.799999999999972,2.89291,0.138265,0.0826627
16.599999999999973,-2.12276,0.141976,0.0827877
16.399999999999974,-4.3507,0.144755,0.0829111
16.199999999999974,-4.74447,0.148307,0.0830326
15.999999999999975,-4.4003,0.15206,0.0831524
15.799999999999976,-3.75308,0.155024,0.0832772
15.599999999999977,-2.53509,0.157541,0.0834001
15.399999999999977,-1.46123,0.160516,0.083521
15.199999999999978,0.547954,0.16175,0.0836399
14.999999999999979,1.88113,0.164205,0.0837568
14.79999999999998,2.97199,0.166685,0.0838787
14.59999999999998,3.53894,0.169247,0.0839984
14.39999999999998,3.87052,0.172376,0.0841158
14.199999999999982,4.00558,0.174918,0.0842308
13.999999999999982,4.24078,0.179639,0.0843435
13.799999999999983,4.12567,0.182807,0.0844609
13.599999999999984,4.2113,0.186073,0.0845756
13.399999999999984,4.2591,0.189242,0.0846876
13.199999999999985,4.32989,0.191127,0.0847971
12.999999999999986,4.26349,0.192723,0.0849043
12.799999999999986,4.39385,0.195086,0.0850166
12.599999999999987,4.44943,0.196437,0.0851258
12.399999999999988,4.37841,0.19981,0.0852319
12.199999999999989,4.37902,0.203185,0.0853351
11.99999999999999,4.24294,0.206042,0.0854353
11.79999999999999,4.28136,0.207287,0.0855407
11.59999999999999,4.29264,0.210817,0.0856428
11.399999999999991,3.78017,0.211499,0.0857414
11.199999999999992,3.74786,0.21455,0.0858366
10.999999999999993,4.06825,0.216525,0.0859282
10.799999999999994,3.73288,0.218178,0.0860249
10.599999999999994,3.71822,0.22031,0.086118
10.399999999999995,3.68023,0.223063,0.0862075
10.199999999999996,3.73838,0.22649,0.086293
9.999999999999996,3.75564,0.22771,0.086375
9.799999999999997,3.26086,0.230809,0.0864602
9.599999999999998,3.23688,0.234554,0.0865419
9.399999999999999,3.36667,0.237231,0.0866203
9.2,3.56966,0.239461,0.0866958
9.0,3.73432,0.241131,0.0867683
8.8,3.80302,0.243438,0.0868423
8.600000000000001,3.67952,0.245219,0.0869132
8.400000000000002,3.299,0.246316,0.0869811
8.200000000000003,3.24605,0.247032,0.087046
8.000000000000004,3.46779,0.247649,0.087108
7.800000000000004,3.61647,0.24853,0.0871733
7.600000000000004,3.82029,0.249302,0.0872358
7.400000000000004,3.77642,0.250347,0.0872968
7.200000000000004,3.44628,0.251728,0.087355
7.0000000000000036,3.49076,0.253556,0.0874118
6.800000000000003,3.58487,0.255932,0.0874703
6.600000000000003,3.77276,0.258691,0.0875281
6.400000000000003,3.9732,0.261647,0.0875833
6.200000000000003,3.45588,0.264853,0.0876354
6.000000000000003,3.58303,0.268023,0.0876843
5.8000000000000025,3.55227,0.271526,0.0877387
5.600000000000002,3.70537,0.27458,0.087789
5.400000000000002,3.91289,0.27718,0.0878359
5.200000000000002,4.38238,0.279212,0.0878796
5.000000000000002,4.3357,0.280701,0.0879204
4.800000000000002,4.78145,0.28218,0.0879662
4.600000000000001,4.61998,0.283624,0.0880085
4.400000000000001,3.97497,0.285055,0.0880465
4.200000000000001,2.8981,0.286726,0.0880809
4.000000000000001,2.13773,0.288367,0.0881121
3.800000000000001,1.87118,0.290329,0.0881485
3.600000000000001,2.45125,0.292455,0.0881812
3.400000000000001,3.1499,0.294469,0.0882091
3.2000000000000006,3.80015,0.29666,0.0882333
3.0000000000000004,4.03894,0.298847,0.0882565
2.8000000000000003,4.76401,0.30146,0.088279
2.6,4.86553,0.30421,0.0883014
2.4,5.05076,0.307196,0.0883235
2.1999999999999997,5.11947,0.309831,0.0883447
1.9999999999999998,5.14847,0.312181,0.0883647
1.7999999999999998,5.15231,0.316092,0.0883858
1.5999999999999999,5.1533,0.31968,0.088406
1.4,5.12415,0.322804,0.0884245
1.2,5.12154,0.325699,0.0884392
1.0,5.35112,0.328261,0.0884504
0.8,5.48787,0.331964,0.0884705
0.6000000000000001,5.88279,0.33468,0.0884843
0.4,6.04183,0.336512,0.0884943
0.2,6.10538,0.337514,0.0885001
0.0,6.1277,0.337811,0.088502
