Layer 1 is next to the bed rock,,,,,,,,,
Layer No,Thickness [m],Vs [m/s],Poisson's ratio,Density [Mg/m3],Cohesion [kPa],Peak shear strain,"Friction angle,",Reference pressure [kPa],Pressure dependent coeff.
30,1,170.9,0,2.202,95,0.1,0,80,0
29,1,224.9,0,2.202,95,0.1,0,80,0
28,1,255.6,0,2.202,95,0.1,0,80,0
27,1,278,0,2.202,95,0.1,0,80,0
26,1,296,0,2.202,95,0.1,0,80,0
25,1,311.3,0,2.202,95,0.1,0,80,0
24,1,324.5,0,2.202,95,0.1,0,80,0
23,1,336.4,0,2.202,95,0.1,0,80,0
22,1,347,0,2.202,95,0.1,0,80,0
21,1,356.8,0,2.202,95,0.1,0,80,0
20,1,365.9,0,2.202,95,0.1,0,80,0
19,1,374.3,0,2.202,95,0.1,0,80,0
18,1,382.2,0,2.202,95,0.1,0,80,0
17,1,389.6,0,2.202,95,0.1,0,80,0
16,1,396.6,0,2.202,95,0.1,0,80,0
15,1,403.3,0,2.202,95,0.1,0,80,0
14,1,409.6,0,2.202,95,0.1,0,80,0
13,1,415.7,0,2.202,95,0.1,0,80,0
12,1,421.5,0,2.202,95,0.1,0,80,0
11,1,427.1,0,2.202,95,0.1,0,80,0
10,1,432.5,0,2.202,95,0.1,0,80,0
9,1,437.7,0,2.202,95,0.1,0,80,0
8,1,442.7,0,2.202,95,0.1,0,80,0
7,1,447.5,0,2.202,95,0.1,0,80,0
6,1,452.2,0,2.202,95,0.1,0,80,0
5,1,456.7,0,2.202,95,0.1,0,80,0
4,1,461.2,0,2.202,95,0.1,0,80,0
3,1,465.4,0,2.202,95,0.1,0,80,0
2,1,469.6,0,2.202,95,0.1,0,80,0
1,1,473.7,0,2.202,95,0.1,0,80,0
