Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39
0.01,0.00032071,0.00059719,0.00016296,0.00052912,0.00050342,0.00063323,0.00056581,0.00020332,0.00043629,0.00040288,0.00073694,0.00086098,0.00061199,0.00081675,0.00034055,0.00068363,0.00060533,0.00016191,0.00022217,0.00079372,0.00033501,0.00015703,0.00077591,0.00098835,0.00039665,0.00032562,0.00092095,0.0004715,0.00034558,0.0006675,0.00044134,0.00021611,0.00019335,0.00043456,0.00078868,0.00018669,0.00039589,0.00024178,0.00024997
0.02,0.0013846,0.0030269,0.0006524,0.0022794,0.0037755,0.0025989,0.0024285,0.00081699,0.0017473,0.0016107,0.0029454,0.0035961,0.0025091,0.003277,0.0013629,0.0027402,0.0024257,0.00065075,0.00090099,0.00319,0.0013957,0.00063289,0.0031575,0.0039619,0.0015943,0.0013028,0.0036947,0.0019092,0.001389,0.0026984,0.001846,0.00086914,0.00078322,0.0017421,0.0034385,0.0007493,0.0017236,0.00097897,0.0010055
0.03,0.0038002,0.0080377,0.0017538,0.0056317,0.010141,0.0057073,0.0058273,0.001868,0.0044464,0.0036474,0.0068736,0.0077488,0.0056167,0.0074603,0.0030817,0.0063292,0.0054892,0.0014654,0.0020414,0.0078229,0.0033239,0.0014471,0.0073508,0.0089673,0.0036786,0.0029366,0.0083166,0.0044223,0.0032233,0.0060445,0.0042379,0.0020034,0.0018514,0.0039884,0.00778,0.0016988,0.0040007,0.0023278,0.0022682
0.04,0.006499,0.013326,0.003595,0.011709,0.012038,0.010387,0.014271,0.0032824,0.0081978,0.0065822,0.012575,0.014513,0.010185,0.013332,0.0054641,0.011588,0.0098089,0.0028492,0.0036542,0.013602,0.0059433,0.0027969,0.013439,0.016142,0.0063235,0.0053309,0.015322,0.0085331,0.0067506,0.011316,0.0095709,0.0036517,0.0044112,0.0072303,0.01768,0.0032275,0.0080646,0.0048546,0.004504
0.05,0.011757,0.020451,0.0066181,0.021289,0.030142,0.017832,0.026026,0.005845,0.011323,0.01035,0.01921,0.022632,0.017244,0.020608,0.0085855,0.019523,0.015418,0.0049097,0.0056602,0.026046,0.010162,0.004247,0.0217,0.026276,0.010254,0.0087434,0.024574,0.013004,0.0094945,0.018672,0.0183,0.0057509,0.0075776,0.011396,0.035822,0.0048125,0.012518,0.011842,0.0075974
0.06,0.018106,0.031509,0.011815,0.03283,0.04655,0.027351,0.049057,0.0087537,0.016225,0.015049,0.031686,0.033919,0.027608,0.030267,0.012724,0.029241,0.02229,0.0075988,0.0084926,0.036501,0.015528,0.0065173,0.032106,0.038469,0.014947,0.012965,0.039996,0.018436,0.013629,0.027982,0.027932,0.0080329,0.015052,0.016095,0.033953,0.0073411,0.019623,0.014522,0.012721
0.07,0.025794,0.037534,0.015822,0.044074,0.043791,0.037676,0.063028,0.012267,0.023499,0.020647,0.044648,0.050383,0.038984,0.04143,0.017516,0.041457,0.031551,0.010382,0.01252,0.051919,0.024501,0.013241,0.044076,0.054643,0.020234,0.016981,0.059208,0.028731,0.020461,0.040173,0.055551,0.011585,0.019501,0.023712,0.049216,0.011627,0.022388,0.018544,0.015779
0.08,0.040729,0.05421,0.016764,0.057391,0.065511,0.048001,0.082107,0.015558,0.040317,0.027386,0.061899,0.062634,0.058729,0.054629,0.022584,0.050933,0.041114,0.018746,0.016803,0.073158,0.032643,0.014566,0.06122,0.073608,0.028454,0.021903,0.085878,0.035685,0.02806,0.052376,0.098391,0.015916,0.024747,0.038096,0.052105,0.014661,0.0309,0.028756,0.024722
0.09,0.062817,0.088448,0.02216,0.083535,0.086438,0.063534,0.085937,0.025458,0.049279,0.035178,0.079171,0.088906,0.077428,0.072103,0.030017,0.059852,0.057101,0.022107,0.021638,0.09859,0.041797,0.022041,0.078706,0.094961,0.041365,0.02864,0.092826,0.054359,0.037681,0.069352,0.091248,0.021589,0.039596,0.045844,0.090735,0.018064,0.046865,0.029843,0.045168
0.1,0.082073,0.096548,0.026859,0.11761,0.12435,0.08617,0.11482,0.029681,0.049442,0.044755,0.10058,0.10289,0.080298,0.088693,0.036525,0.072031,0.076475,0.025538,0.031327,0.11578,0.059807,0.029685,0.10027,0.12046,0.056563,0.032998,0.10406,0.07043,0.042678,0.088034,0.11281,0.026051,0.048549,0.062104,0.12016,0.02549,0.049654,0.039619,0.055803
