Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39
0.01,0.31765,0.48445,0.5406,0.34097,0.27446,0.16978,0.57808,0.11346,0.44575,0.41162,0.87966,0.62527,0.60334,0.48428,0.34793,0.61846,0.22699,0.18278,0.79275,1.0098,0.37424,0.30423,0.40525,0.26437,0.33268,0.14736,0.15286,0.53682,0.46547,0.35308,0.1533,0.28697,0.23109,0.15734,0.26299,0.19043,0.21198,0.38883,0.25539
0.02,0.31977,0.51472,0.58223,0.35063,0.27472,0.17109,0.62029,0.11646,0.4463,0.4114,0.91854,0.64089,0.59537,0.48488,0.34812,0.61958,0.23013,0.18304,0.8065,1.012,0.3762,0.30499,0.40723,0.26582,0.33277,0.14871,0.15415,0.54704,0.47025,0.35478,0.16535,0.31995,0.23731,0.15836,0.26401,0.2146,0.2328,0.38576,0.25683
0.03,0.33051,0.49542,0.63932,0.34487,0.27651,0.17216,0.66152,0.11551,0.50476,0.41407,0.87966,0.63762,0.65845,0.49888,0.34984,0.62315,0.23174,0.18366,0.83448,1.018,0.39508,0.30598,0.4176,0.26512,0.33337,0.1489,0.15411,0.58304,0.49992,0.36592,0.16793,0.44875,0.24987,0.16102,0.26784,0.20706,0.24024,0.42884,0.25749
0.04,0.31717,0.52201,0.74767,0.35243,0.2763,0.1797,0.91127,0.12465,0.52348,0.42032,0.92676,0.65038,0.63889,0.52954,0.34892,0.62636,0.23334,0.1891,0.85818,1.0308,0.40152,0.30404,0.4038,0.27438,0.34041,0.15318,0.16291,0.63194,0.62315,0.43107,0.17268,0.61245,0.28264,0.17955,0.27651,0.21345,0.2849,0.45259,0.28761
0.05,0.3262,0.56133,0.87002,0.35419,0.27765,0.19852,1.0636,0.13282,0.46277,0.42297,0.92491,0.70474,0.61987,0.52881,0.35087,0.6301,0.23132,0.21594,0.88682,1.0738,0.49203,0.30552,0.41905,0.28173,0.35733,0.15239,0.1608,0.77212,0.74042,0.38802,0.1658,0.70878,0.31605,0.21601,0.28609,0.32044,0.25055,0.40323,0.31049
0.06,0.32372,0.57388,0.93174,0.35068,0.27635,0.21107,1.3923,0.18141,0.46049,0.42709,0.96264,0.78354,0.66804,0.57235,0.3611,0.6326,0.24102,0.2139,0.91118,1.0918,0.5004,0.31706,0.42419,0.29816,0.36794,0.15432,0.1929,0.68695,0.83786,0.38679,0.21385,0.65284,0.483,0.22417,0.27436,0.29347,0.27986,0.43283,0.36103
0.07,0.37604,0.51872,0.91899,0.35843,0.27484,0.18774,1.3142,0.16299,0.48998,0.43051,1.0505,0.81284,0.75116,0.60914,0.36522,0.65786,0.26105,0.24686,0.91903,1.1394,0.53583,0.31579,0.4219,0.29874,0.35408,0.19857,0.1971,0.71072,0.99596,0.42663,0.22592,0.75408,0.56597,0.22836,0.31841,0.26117,0.32629,0.46078,0.329
0.08,0.37227,0.65723,0.91619,0.36998,0.27518,0.20358,1.3108,0.20465,0.64363,0.43718,0.9999,0.93755,0.89877,0.58513,0.36053,0.65634,0.26824,0.26129,0.97731,1.1751,0.69061,0.33048,0.45425,0.29517,0.34966,0.19833,0.22013,0.76725,0.89616,0.44795,0.3365,0.93144,0.58938,0.25339,0.31213,0.32593,0.35685,0.439,0.39467
0.09,0.36189,0.82345,1.0537,0.35049,0.28593,0.22827,1.084,0.26877,0.62158,0.44372,1.1214,0.97664,0.9897,0.67963,0.37862,0.72024,0.27293,0.29536,0.99276,1.1978,0.90602,0.33508,0.52176,0.35187,0.36125,0.19823,0.25096,0.75751,1.1127,0.4753,0.27674,1.306,0.74883,0.33417,0.35797,0.37904,0.35413,0.49689,0.56973
0.1,0.35369,0.88987,1.2016,0.38874,0.28657,0.25262,1.1731,0.25672,0.50515,0.45726,1.0512,0.8204,1.056,0.63627,0.37317,0.78134,0.32007,0.27715,1.0245,1.2307,1.2042,0.30662,0.57791,0.38476,0.33714,0.21204,0.24056,0.92546,1.1453,0.43604,0.189,1.0109,0.61804,0.40671,0.38291,0.54568,0.35596,0.53619,0.57014
