Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40
0.01,1.3054,0.79256,0.85854,0.48445,0.5406,0.51434,0.34097,0.35379,0.43891,0.57808,0.38751,1.4558,0.73158,0.41162,0.57257,0.87966,0.62527,0.85322,0.61846,0.81094,0.79275,0.49921,0.51556,1.0098,0.40525,0.48173,0.90801,0.98333,0.35308,0.68199,0.4237,0.54106,0.44399,0.8058,0.4526,0.38883,0.61057,0.37205,0.3223,0.3319
0.02,1.328,1.1244,0.86234,0.51472,0.58223,0.96435,0.35063,0.36269,0.49433,0.62029,0.38711,1.6708,1.017,0.4114,0.57178,0.91854,0.64089,0.86082,0.61958,0.8148,0.8065,0.50571,0.56161,1.012,0.40723,0.48765,0.92353,1.0092,0.35478,0.68924,0.44866,0.54602,0.44498,0.87827,0.48367,0.38576,0.73078,0.37507,0.32024,0.33215
0.03,1.656,1.4658,0.85301,0.49542,0.63932,1.1512,0.34487,0.36706,0.49613,0.66152,0.40536,1.9087,1.3077,0.41407,0.57905,0.87966,0.63762,0.89778,0.62315,0.88807,0.83448,0.52357,0.54246,1.018,0.4176,0.50203,0.91142,1.0306,0.36592,0.68619,0.44361,0.6335,0.45277,0.88321,0.53206,0.42884,0.7625,0.37754,0.32905,0.3379
0.04,1.6619,1.7397,1.0063,0.52201,0.74767,0.76869,0.35243,0.37121,0.50652,0.91127,0.40948,2.2124,1.5848,0.42032,0.57975,0.92676,0.65038,0.97931,0.62636,0.86858,0.85818,0.54562,0.56192,1.0308,0.4038,0.54489,0.97558,1.1208,0.43107,0.72259,0.46596,0.79759,0.4617,1.129,0.58891,0.45259,0.68404,0.38102,0.33135,0.34469
0.05,1.9608,1.8638,1.0184,0.56133,0.87002,1.2318,0.35419,0.44673,0.50421,1.0636,0.41382,2.2164,1.6681,0.42297,0.58384,0.92491,0.70474,0.91912,0.6301,1.0644,0.88682,0.53887,0.59185,1.0738,0.41905,0.53146,1.0006,1.2526,0.38802,0.76309,0.51493,0.88262,0.46574,1.464,0.59061,0.40323,0.87295,0.38166,0.44228,0.38694
0.06,1.7469,1.7582,1.4381,0.57388,0.93174,1.3211,0.35068,0.51899,0.47894,1.3923,0.43791,2.239,1.4827,0.42709,0.59395,0.96264,0.78354,1.0336,0.6326,1.0359,0.91118,0.53182,0.59959,1.0918,0.42419,0.52322,1.0557,1.3324,0.38679,0.79414,0.51042,0.77557,0.45678,0.9636,0.55758,0.43283,0.66738,0.38875,0.3875,0.345
0.07,2.1428,2.8022,1.5969,0.51872,0.91899,0.91309,0.35843,0.61123,0.55194,1.3142,0.47972,2.3336,2.3078,0.43051,0.63641,1.0505,0.81284,1.1403,0.65786,1.0826,0.91903,0.50441,0.66234,1.1394,0.4219,0.59907,0.94326,1.1611,0.42663,0.83764,0.63791,0.83477,0.49442,1.0262,0.47933,0.46078,0.92745,0.38169,0.4304,0.38735
0.08,2.2286,1.9006,1.6361,0.65723,0.91619,1.0458,0.36998,0.5836,0.45987,1.3108,0.45435,2.6215,2.1089,0.43718,0.79437,0.9999,0.93755,1.1195,0.65634,1.1679,0.97731,0.58208,0.69241,1.1751,0.45425,0.56967,1.3016,1.2445,0.44795,0.83614,0.66598,0.86828,0.60817,0.83181,0.59678,0.439,0.94756,0.41168,0.46608,0.42292
0.09,1.9077,1.6015,2.052,0.82345,1.0537,1.0903,0.35049,0.60621,0.49452,1.084,0.47354,2.5382,1.6847,0.44372,0.70613,1.1214,0.97664,1.2322,0.72024,1.2436,0.99276,0.60448,0.75883,1.1978,0.52176,0.68566,1.2213,1.4395,0.4753,0.87477,0.66179,0.90817,0.57825,1.1445,0.81172,0.49689,1.133,0.42667,0.42981,0.54338
0.1,1.913,1.6252,1.6952,0.88987,1.2016,1.2705,0.38874,0.69228,0.51232,1.1731,0.5361,2.5779,1.9349,0.45726,0.7558,1.0512,0.8204,1.2034,0.78134,1.1829,1.0245,0.66864,0.82693,1.2307,0.57791,0.71958,1.3079,1.7307,0.43604,0.89944,0.73521,0.90578,0.63451,1.2277,0.73586,0.53619,1.1754,0.45573,0.40158,0.52638
