Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40
0.01,0.00077573,0.00084031,0.00052912,0.00050342,0.00033373,0.00059901,0.00034628,0.00042959,0.00056581,0.0005045,0.00040288,0.00056041,0.00057799,0.00086098,0.00061199,0.00060533,0.00030553,0.00065528,0.00033501,0.00035005,0.00077591,0.00098835,0.00039665,0.00049876,0.00092095,0.00030301,0.0004715,0.00088872,0.00034558,0.0006675,0.00028087,0.00052957,0.00078868,0.00044299,0.00046117,0.00053436,0.0005976,0.00036415,0.00031545,0.00032485
0.02,0.004402,0.0033761,0.0022794,0.0037755,0.0013727,0.0024979,0.00142,0.0019353,0.0024285,0.0020228,0.0016107,0.0022386,0.0023304,0.0035961,0.0025091,0.0024257,0.0012257,0.0041605,0.0013957,0.00141,0.0031575,0.0039619,0.0015943,0.0027776,0.0036947,0.0012849,0.0019092,0.0036156,0.001389,0.0026984,0.0012526,0.0021377,0.0034385,0.0018936,0.0018666,0.0022026,0.002861,0.0014684,0.0012538,0.0013004
0.03,0.012912,0.0075141,0.0056317,0.010141,0.0030379,0.0061787,0.0032334,0.0043703,0.0058273,0.0048335,0.0036474,0.0051007,0.0054454,0.0077488,0.0056167,0.0054892,0.0027566,0.0096988,0.0033239,0.0031496,0.0073508,0.0089673,0.0036786,0.007422,0.0083166,0.0031201,0.0044223,0.0080286,0.0032233,0.0060445,0.003953,0.0055804,0.00778,0.0046869,0.0057831,0.0054252,0.0067167,0.0033257,0.0028986,0.0029765
0.04,0.027244,0.015759,0.011709,0.012038,0.0055191,0.010323,0.0058132,0.0079322,0.014271,0.0085419,0.0065822,0.009079,0.009861,0.014513,0.010185,0.0098089,0.0049654,0.012034,0.0059433,0.0056682,0.013439,0.016142,0.0063235,0.016205,0.015322,0.0067491,0.0085331,0.015278,0.0067506,0.011316,0.009591,0.01249,0.01768,0.0092224,0.010223,0.012201,0.010712,0.0059668,0.005189,0.005398
0.05,0.045604,0.024918,0.021289,0.030142,0.0086667,0.016541,0.010931,0.012337,0.026026,0.015499,0.01035,0.014286,0.015378,0.022632,0.017244,0.015418,0.0081829,0.029564,0.010162,0.0090919,0.0217,0.026276,0.010254,0.017579,0.024574,0.012065,0.013004,0.024484,0.0094945,0.018672,0.017343,0.021597,0.035822,0.014452,0.017412,0.01985,0.02136,0.0093389,0.010822,0.0094681
0.06,0.061949,0.050674,0.03283,0.04655,0.012357,0.03772,0.018287,0.016876,0.049057,0.023062,0.015049,0.020928,0.023828,0.033919,0.027608,0.02229,0.011357,0.03491,0.015528,0.013421,0.032106,0.038469,0.014947,0.03697,0.039996,0.023164,0.018436,0.037199,0.013629,0.027982,0.023003,0.027327,0.033953,0.019647,0.039718,0.028762,0.023516,0.013698,0.013654,0.012156
0.07,0.13439,0.076588,0.044074,0.043791,0.01719,0.046411,0.029314,0.026471,0.063028,0.034363,0.020647,0.030522,0.038749,0.050383,0.038984,0.031551,0.016998,0.038261,0.024501,0.018489,0.044076,0.054643,0.020234,0.051075,0.059208,0.031315,0.028731,0.045238,0.020461,0.040173,0.036165,0.040035,0.049216,0.022989,0.054186,0.038066,0.04448,0.018306,0.020642,0.018577
0.08,0.11906,0.10249,0.057391,0.065511,0.023176,0.072563,0.036557,0.028807,0.082107,0.039478,0.027386,0.04976,0.054576,0.062634,0.058729,0.041114,0.022314,0.055427,0.032643,0.024626,0.06122,0.073608,0.028454,0.06894,0.085878,0.035716,0.035685,0.081536,0.02806,0.052376,0.058346,0.05439,0.052105,0.037383,0.089964,0.041687,0.059356,0.025788,0.029196,0.026492
0.09,0.12696,0.16268,0.083535,0.086438,0.027787,0.082597,0.04806,0.039206,0.085937,0.053419,0.035178,0.055981,0.071633,0.088906,0.077428,0.057101,0.029138,0.070225,0.041797,0.029519,0.078706,0.094961,0.041365,0.07969,0.092826,0.047678,0.054359,0.096828,0.037681,0.069352,0.10354,0.072,0.090735,0.064353,0.099288,0.062203,0.089827,0.033827,0.034075,0.043079
0.1,0.15907,0.16592,0.11761,0.12435,0.038048,0.1245,0.067758,0.050144,0.11482,0.077263,0.044755,0.073975,0.092121,0.10289,0.080298,0.076475,0.038107,0.078111,0.059807,0.037496,0.10027,0.12046,0.056563,0.11632,0.10406,0.046142,0.07043,0.12801,0.042678,0.088034,0.09894,0.088654,0.12016,0.072023,0.12909,0.06945,0.11504,0.044605,0.039305,0.051521
