member,joint_A,joint_B,AFX_N,AFY_N,AFZ_N,AMX_Nmm,AMY_Nmm,AMZ_Nmm,BFX_N,BFY_N,BFZ_N,BMX_Nmm,BMY_Nmm,BMZ_Nmm
1,1,2,136.419642,278.869772,-10.063207,-0.0,0.0,0.0,-136.419642,120.340815,10.063207,-8845.558757,0.0,-119912.877688
2,2,3,-153.321082,-320.258288,-225.041585,-109524.872288,3325.205403,59175.542369,153.321082,719.468908,225.041585,-88286.684936,-3325.205403,75593.682662
3,6,5,73.295999,3971.684999,-14.370977,-0.0,0.0,-0.0,-73.295999,-3572.474379,14.370977,-12632.089439,0.0,-64427.191709
4,5,4,356.249226,4109.584192,-253.875063,-122266.719313,3117.599421,-46650.227169,-356.249226,-3710.373837,253.875063,-100889.459442,-3117.599421,-266492.848753
5,3,4,-152.218354,-916.285797,-13.676999,-1496.326279,3239.74729,-75528.695503,152.218354,1164.368065,13.676999,1496.326279,3598.753149,-444634.759463
6,2,5,290.627898,459.866672,15.954338,-1427.084756,-3523.671935,62586.20315,-290.627898,-232.784395,-15.954338,1427.084756,-4453.496755,110576.559815
7,7,4,-202.966489,1903.378194,-0.92491,0.0,0.0,-0.0,202.966257,2382.925149,0.92491,-1625.992182,-1387.365248,716474.792047
11,11,12,141.732112,3974.426226,12.878108,-0.0,0.0,-0.0,-141.732112,-3575.215341,-12.878108,11319.85728,0.0,-124582.524931
12,12,13,-110.797955,1546.336315,-204.328237,-91443.525404,3308.259707,42994.945293,110.797955,-1147.125694,204.328237,-88161.000444,-3308.259707,54396.457424
13,16,15,89.6072,7618.499427,13.767444,-0.0,0.0,0.0,-89.6072,-7219.289337,-13.767444,12101.583773,0.0,-78764.732759
14,15,14,373.02022,5701.857342,-240.020119,-103443.993535,3967.263169,-62243.986833,-373.02022,-5302.646721,240.020119,-107533.69268,-3967.263169,-265640.809859
15,13,14,-121.090293,-822.258703,-3.753659,770.142131,845.980809,-63329.050149,121.090293,1049.340979,3.753659,-770.142131,1030.848599,-404570.883188
16,12,15,254.171748,488.851392,8.286752,-2899.979987,-4209.688842,75640.742793,-254.171748,-261.769116,-8.286752,2899.979987,66.312261,112014.378816
17,17,14,-238.088911,1942.927272,-1.286492,-0.0,-0.0,-0.0,238.088779,2343.376336,1.286492,-2261.652248,-1929.737279,718896.705196
21,3,13,-1.102721,196.816839,-211.36458,89783.012583,85.458219,-64.994406,1.102721,1137.498522,211.36458,239455.550807,-857.363085,64.994406
22,4,14,1.064598,163.080623,-268.476957,101019.123976,906.211836,-5347.163628,-1.064598,1141.834667,268.476957,241544.783578,-160.993375,5347.163628
23,13,23,9.189611,831.886008,-411.939172,-152064.685234,3319.642141,8867.59799,-9.189611,407.120913,411.939172,14016.03055,2653.604576,-8867.59799
24,14,24,14.90586,768.094872,-513.53722,-130979.281682,5027.145224,-54032.209449,-14.90586,470.911983,513.53722,34394.854484,4661.662746,54032.209449
25,23,24,6.660745,58.538392,-3.995513,1030.253866,711.083788,10742.68713,-6.660745,189.543864,3.995513,-1030.253866,1286.672823,-43494.053407
26,2,12,-0.887186,-259.949149,199.024035,119797.517063,198.46669,-1848.875618,0.887186,577.864326,-199.024035,173437.190604,-819.496806,1848.875618
27,5,15,7.674683,-304.325749,255.458414,133471.731152,1335.897544,500.857801,-7.674683,622.240976,-255.458414,190826.622912,4036.381053,-500.857801
28,23,12,2.528867,-465.659268,-407.943692,-15046.284942,-3364.688049,-1875.089561,-2.528867,962.163308,407.943692,-90413.556384,1720.924994,4097.9627
29,24,15,21.566605,-660.45583,-517.532766,-33364.602617,-5948.335253,-10538.154358,-21.566605,1156.959937,517.532866,-102384.191031,-8069.958062,29495.199839
