node,UX_mm,UY_mm,UZ_mm,RX_rad,RY_rad,RZ_rad
1,0.0,0.0,0.0,1.9869e-05,-5.25e-06,7.257e-06
2,-0.00385,5.9e-05,0.017216,1.8992e-05,-5.25e-06,-1.652e-06
3,-0.001687,0.000275,0.048532,1.9992e-05,-6.949e-06,-5.98e-07
4,-0.00167,-0.001313,0.051933,2.0197e-05,-6.778e-06,-1.4537e-05
5,-0.003881,-0.000653,0.019861,1.9754e-05,-5.41e-06,1.775e-06
6,0.0,0.0,0.0,2.3951e-05,-5.41e-06,5.675e-06
7,0.0,0.0,0.0,3.3322e-05,4.421e-06,8.4412e-05
11,0.0,0.0,0.0,1.7906e-05,-5.755e-06,1.2708e-05
12,-0.007545,-0.003254,0.017002,2.2356e-05,-5.755e-06,-6.5e-08
13,-0.006707,-0.004519,0.048751,2.7572e-05,-6.82e-06,-4.3e-07
14,-0.006708,-0.005888,0.052154,2.7593e-05,-6.906e-06,-1.2712e-05
15,-0.007562,-0.003847,0.019648,2.3254e-05,-4.999e-06,2.48e-06
16,0.0,0.0,0.0,2.1923e-05,-4.999e-06,1.1523e-05
17,0.0,0.0,0.0,3.4505e-05,-1.008e-06,8.7912e-05
23,-0.011114,-0.028389,0.049096,3.5919e-05,-7.203e-06,-4.627e-06
24,-0.011118,-0.029567,0.052502,3.5971e-05,-6.39e-06,-1.98e-07
